,"Post-op Sz Freedom (Engel Ia, Ib; ILAE 1, 2)","Concordant Neurophys & Imaging (MRI, PET, SPECT)",sEEG (y) and/or ES (ES),Reference,Relevant Tot Sample,Tot Pt included,Reported Semiology,Semiology Category,Ground truth description,Lateralising,CL,IL,BL (Non-lateralising),DomH,NonDomH,Localising,Reported Localisation,TL,Anterior (temporal pole),Lateral Temporal,"STG (includes Transverse Temporal Gyrus, Both Planum)","Transverse Temporal Gyrus (Heschl's, BA 41,  42, ?opercula)",Planum Temporale,Planum Polare,MTG,ITG,Mesial Temporal,Ant Mesial Temporal,Post Mesial Temporal,Enthorinal Cortex,Fusiform,AMYGD,PARAHIPPOCAMPUS,HIPPOCAMPUS,Posterior Temporal,Basal (including Fusiform OTMG),OTMG (fusiform),FL,frontal pole,"Pre-frontal (BA 8, 9, 10, 11, 12, 13, 14, 24, 25, 32, 44, 45, 46, 47)","DL-PFC (BA 46) (include subgroups BA 9, 8, 10 - frontopolar/anterior prefrontal)",gyrus rectus (basal = gyrus rectus and OFC),"Orbito-frontal (BA 10, 11, 12/47) (basal = gyrus rectus and OFC)",Post OF,Lat OF,Med OF,Medial Frontal (include medial premotor and its constituents as its subsets),"Primary Motor Cortex (Pre-central gyrus, BA 4, Rolandic)",medial precentral,Rolandic Operculum (low BA4),SFG (F1),Med SFG,Post SFG,Ant SFG,MFG (F2),Ant MFG,Mid MFG,Post MFG,"IFG (F3)
(BA 44,45,47)","Pars orbitalis (subgroup of IFG)
(BA 47)",Pars Triangularis (subgroup IFG),"Pars opercularis (BA 44)(subgroup IFG, ?opercula)",Premotor frontal (posterior frontal),"Ant Premotor (BA 8, frontal-eye-fields)","Lateral Premotor
(BA 6)",Medial Premotor (including pre SMA),"SMA (pre-central gyrus; posterior SFG, MFG)",SSMA,CING,Cingulum (WM),"Ant Cing (frontal, genu)",Dorsal Ant Cing (BA 32),Middle Cingulate,Post Cing,Isthmus,PL,Primary Sensory Cortex (post-central gyrus),medial anterior parietal,Sup. pariet. lobule,Precuneus (medial post sup parietal lobule),Inferior Parietal Lobule,Supramarg gyrus (post part of parietal operculum),Angular gyrus (BA 39),parietal operculum (ceiling of secondary somatosensory cortex),OL,Mesial Occipital,Lingual gyrus  (medial and basal),Cuneus,"Lateral Occipital (SOG, IOG, LOG)",Posterior Occipital Gyrus,Superior Occipital Gyrus,INSULA,Ant Ins,Anterior Short Gyrus,Middle Short Gyrus,Post short gyrus,Precentral gyrus,Postcentral gyrus,Posterior long gyrus,Hypothalamus,Sub-Callosal Cortex,Cerebellum,Hemisphere,Vermis,FT,TO,TP,FTP,TPO Junction,PO,FP,Perisylvian,paper including paediatric  age group (0-17) or individual data from pt 0-17,paediatric subgroup <7 years (0-6 yrs) y/n,# tot pt in the paper,# pt excluded,# pt sz free post-surg,Cortical Stimulation (CS),Spontaneous Semiology (SS),Epilepsy Topology (ET),"Other factors (e.g. Abs, genetic mutations)",Year,Color,Labels,Priors,AGE,OTHER,SemioDict Key
261,y,SPECT,,"Baumgartner C, Olbrich A, Lindinger G, Pataraia E, Groppel G, Bacher J, et al. Regional cerebral blood flow during temporal lobe seizures associated with ictal vomiting: an ictal SPECT study in two patients. Epilepsia 1999; 40(8): 1085-91.",2,2.0,ictal vomiting,Autonomic (Emesis),post-op seizure freedom for 32 months. EEG and SPECT lateralisation to non-dominant hemisphere in 1 patient (i.e concordant lateralisaton) with Wada.,1.0,,,,,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0,2,,,y,,1954-2000,#F27420,SF and Concordance,Epilepsy Topology (ET),Unlabelled Age,0.0,Autonomous-Vegetative
262,y,,,"Baumgartner C, Olbrich A, Lindinger G, Pataraia E, Groppel G, Bacher J, et al. Regional cerebral blood flow during temporal lobe seizures associated with ictal vomiting: an ictal SPECT study in two patients. Epilepsia 1999; 40(8): 1085-91.",,,ictal vomiting,Autonomic (Emesis),post-op seizure freedom for 20 months. Post op lateralisation to non-dominant hemisphere in 1 patient (i.e concordant lateralisaton) with Wada.,1.0,,,,,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,1954-2000,#F27420,Seizure-Freedom Only,Epilepsy Topology (ET),Unlabelled Age,0.0,Autonomous-Vegetative
263,y,y,,"Baumgartner C, Olbrich A, Lindinger G, Pataraia E, Groppel G, Bacher J, et al. Regional cerebral blood flow during temporal lobe seizures associated with ictal vomiting: an ictal SPECT study in two patients. Epilepsia 1999; 40(8): 1085-91.",,,nausea,Autonomic,post operative seizure freedom,,,,,,,2.0,,2.0,,,,,,,,,2.0,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,1954-2000,#F27420,SF and Concordance,Epilepsy Topology (ET),Unlabelled Age,0.0,Autonomous-Vegetative
264,y,y,,"Baumgartner C, Olbrich A, Lindinger G, Pataraia E, Groppel G, Bacher J, et al. Regional cerebral blood flow during temporal lobe seizures associated with ictal vomiting: an ictal SPECT study in two patients. Epilepsia 1999; 40(8): 1085-91.",,,tightness in her throat,laryngeal constriction,post operative seizure freedom,,,,,,,2.0,,2.0,,,,,,,,,2.0,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,1954-2000,#F27420,SF and Concordance,Epilepsy Topology (ET),Unlabelled Age,0.0,Autonomous-Vegetative
265,y,y,,"Baysal-Kirac L, Tuzun E, Erdag E, Ulusoy C, Vanli-Yavuz EN, Ekizoglu E, et al. Neuronal autoantibodies in epilepsy patients with peri-ictal autonomic findings. J Neurol 2016; 263(3): 455-66.",17,4.0,Abdominal discomfort and pain,Aura (Epigastric),post operative seizure freedom (& concordant),,,,,,,2.0,,2.0,,,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,13,3,,y,,,2016,#F27420,SF and Concordance,Spontaneous Semiology (SS),Unlabelled Age,0.0,Epigastric
266,,y,,"Baysal-Kirac L, Tuzun E, Erdag E, Ulusoy C, Vanli-Yavuz EN, Ekizoglu E, et al. Neuronal autoantibodies in epilepsy patients with peri-ictal autonomic findings. J Neurol 2016; 263(3): 455-66.",,,cardiac,Autonomic (Cardiac),Concordant MRI And EEG,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,2016,#F27420,Concordance Only,Spontaneous Semiology (SS),Unlabelled Age,0.0,Autonomous-Vegetative
267,,y,,"Baysal-Kirac L, Tuzun E, Erdag E, Ulusoy C, Vanli-Yavuz EN, Ekizoglu E, et al. Neuronal autoantibodies in epilepsy patients with peri-ictal autonomic findings. J Neurol 2016; 263(3): 455-66.",,,abdominal tightness,Aura (Epigastric),Concordant MRI And EEG,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,2016,#F27420,Concordance Only,Spontaneous Semiology (SS),Unlabelled Age,0.0,Epigastric
268,,y,,"Baysal-Kirac L, Tuzun E, Erdag E, Ulusoy C, Vanli-Yavuz EN, Ekizoglu E, et al. Neuronal autoantibodies in epilepsy patients with peri-ictal autonomic findings. J Neurol 2016; 263(3): 455-66.",,,anxiety,Anxiety,Concordant MRI And EEG,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,2016,#F27420,Concordance Only,Spontaneous Semiology (SS),Unlabelled Age,0.0,Fear-Anxiety
269,y,y,,"Baysal-Kirac L, Tuzun E, Erdag E, Ulusoy C, Vanli-Yavuz EN, Ekizoglu E, et al. Neuronal autoantibodies in epilepsy patients with peri-ictal autonomic findings. J Neurol 2016; 263(3): 455-66.",,,nausea,Autonomic (GI),post operative seizure freedom (& concordant),,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,2016,#F27420,SF and Concordance,Spontaneous Semiology (SS),Unlabelled Age,0.0,Autonomous-Vegetative
270,y,y,,"Baysal-Kirac L, Tuzun E, Erdag E, Ulusoy C, Vanli-Yavuz EN, Ekizoglu E, et al. Neuronal autoantibodies in epilepsy patients with peri-ictal autonomic findings. J Neurol 2016; 263(3): 455-66.",,,urinary urge,Autonomic (Urinary),post operative seizure freedom (& concordant),,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,2016,#F27420,SF and Concordance,Spontaneous Semiology (SS),Unlabelled Age,0.0,Autonomous-Vegetative
271,y,y,,"Baysal-Kirac L, Tuzun E, Erdag E, Ulusoy C, Vanli-Yavuz EN, Ekizoglu E, et al. Neuronal autoantibodies in epilepsy patients with peri-ictal autonomic findings. J Neurol 2016; 263(3): 455-66.",,,Fear,Fear,post operative seizure freedom (& concordant),,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,2016,#F27420,SF and Concordance,Spontaneous Semiology (SS),Unlabelled Age,0.0,Fear-Anxiety
272,y,y,,"Baysal-Kirac L, Tuzun E, Erdag E, Ulusoy C, Vanli-Yavuz EN, Ekizoglu E, et al. Neuronal autoantibodies in epilepsy patients with peri-ictal autonomic findings. J Neurol 2016; 263(3): 455-66.",,,pilomotor aura,Autonomic (pilomotor),post operative seizure freedom (& concordant),,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,2016,#F27420,SF and Concordance,Spontaneous Semiology (SS),Unlabelled Age,0.0,Autonomous-Vegetative
273,y,,y,"Beauvais K, Biraben A, Seigneuret E, Saikali S, Scarabin JM. Subjective signs in premotor epilepsy: confirmation by stereo-electroencephalography. Epileptic Disord 2005; 7(4): 347-54.",11,6.0,L wrist shivering and parasthesia,Somatosensory,post op seizure free and sEEG,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,5,6,,,y,,2005,#F27420,SF and sEEG,Epilepsy Topology (ET),Unlabelled Age,0.0,Somatosensory
274,y,,y,"Beauvais K, Biraben A, Seigneuret E, Saikali S, Scarabin JM. Subjective signs in premotor epilepsy: confirmation by stereo-electroencephalography. Epileptic Disord 2005; 7(4): 347-54.",,,right turning of the eyes and head,Head Turn,post op seizure free and sEEG,3.0,1.0,2.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,1.0,3.0,,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,2005,#F27420,SF and sEEG,Epilepsy Topology (ET),Unlabelled Age,0.0,Head or Body Turn
275,y,,y,"Beauvais K, Biraben A, Seigneuret E, Saikali S, Scarabin JM. Subjective signs in premotor epilepsy: confirmation by stereo-electroencephalography. Epileptic Disord 2005; 7(4): 347-54.",,,left upper limb tonic posturing,Tonic (Upper Limb),post op seizure free and sEEG,3.0,3.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,1.0,3.0,,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,2005,#F27420,SF and sEEG,Epilepsy Topology (ET),Unlabelled Age,0.0,Tonic
276,y,,y,"Beauvais K, Biraben A, Seigneuret E, Saikali S, Scarabin JM. Subjective signs in premotor epilepsy: confirmation by stereo-electroencephalography. Epileptic Disord 2005; 7(4): 347-54.",,,lower limb extension,Tonic (LL),post op seizure free and sEEG,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,1.0,2.0,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,2005,#F27420,SF and sEEG,Epilepsy Topology (ET),Unlabelled Age,0.0,Tonic
277,y,,y,"Beauvais K, Biraben A, Seigneuret E, Saikali S, Scarabin JM. Subjective signs in premotor epilepsy: confirmation by stereo-electroencephalography. Epileptic Disord 2005; 7(4): 347-54.",,,impairment of consciousness,LOA,post op seizure free and sEEG,3.0,,,,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,2.0,,,,3.0,,,,1.0,,,1.0,3.0,,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,2005,#F27420,SF and sEEG,Epilepsy Topology (ET),Unlabelled Age,0.0,Dialeptic/LOA
278,y,,y,"Beauvais K, Biraben A, Seigneuret E, Saikali S, Scarabin JM. Subjective signs in premotor epilepsy: confirmation by stereo-electroencephalography. Epileptic Disord 2005; 7(4): 347-54.",,,"blurred vision, visual zoom",Simple Visual,post op seizure free and sEEG,3.0,,,,1.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,1.0,,,,2.0,,,,1.0,,,1.0,3.0,,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,2005,#F27420,SF and sEEG,Epilepsy Topology (ET),Unlabelled Age,0.0,Visual - Elementary
279,y,,y,"Beauvais K, Biraben A, Seigneuret E, Saikali S, Scarabin JM. Subjective signs in premotor epilepsy: confirmation by stereo-electroencephalography. Epileptic Disord 2005; 7(4): 347-54.",,,discharge in the hands,Somatosensory,post op seizure free and sEEG,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,2005,#F27420,SF and sEEG,Epilepsy Topology (ET),Unlabelled Age,0.0,Somatosensory
280,y,,y,"Beauvais K, Biraben A, Seigneuret E, Saikali S, Scarabin JM. Subjective signs in premotor epilepsy: confirmation by stereo-electroencephalography. Epileptic Disord 2005; 7(4): 347-54.",,,"ocular jerks, complex ocular movements",Complex Ocular,post op seizure free and sEEG,2.0,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,1.0,2.0,,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,2005,#F27420,SF and sEEG,Epilepsy Topology (ET),Unlabelled Age,0.0,Complex Ocular Flutter
281,y,,y,"Beauvais K, Biraben A, Seigneuret E, Saikali S, Scarabin JM. Subjective signs in premotor epilepsy: confirmation by stereo-electroencephalography. Epileptic Disord 2005; 7(4): 347-54.",,,sensation of constriction and parashesia of throat and tongue,"laryngeal constriction, Somatosensory",post op seizure free and sEEG,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,2005,#F27420,SF and sEEG,Epilepsy Topology (ET),Unlabelled Age,0.0,Somatosensory
282,y,,y,"Beauvais K, Biraben A, Seigneuret E, Saikali S, Scarabin JM. Subjective signs in premotor epilepsy: confirmation by stereo-electroencephalography. Epileptic Disord 2005; 7(4): 347-54.",,,Oroalimentary automatisms,Automatisms (Oral),post op seizure free and sEEG,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,2005,#F27420,SF and sEEG,Epilepsy Topology (ET),Unlabelled Age,0.0,Automatisms - Oral
283,y,,y,"Beauvais K, Biraben A, Seigneuret E, Saikali S, Scarabin JM. Subjective signs in premotor epilepsy: confirmation by stereo-electroencephalography. Epileptic Disord 2005; 7(4): 347-54.",,,Anarthria,Anarthria,post op seizure free and sEEG,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,2005,#F27420,SF and sEEG,Epilepsy Topology (ET),Unlabelled Age,0.0,Dysphasia
284,y,,y,"Beauvais K, Biraben A, Seigneuret E, Saikali S, Scarabin JM. Subjective signs in premotor epilepsy: confirmation by stereo-electroencephalography. Epileptic Disord 2005; 7(4): 347-54.",,,"indefinable sensation in the head, dizziness in the head","Cephalic, Dizzy",post op seizure free and sEEG,2.0,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,2005,#F27420,SF and sEEG,Epilepsy Topology (ET),Unlabelled Age,0.0,Olfactory
285,y,,y,"Beauvais K, Biraben A, Seigneuret E, Saikali S, Scarabin JM. Subjective signs in premotor epilepsy: confirmation by stereo-electroencephalography. Epileptic Disord 2005; 7(4): 347-54.",,,bilateral tonic facial  expression,"Tonic, Mimetic Automatism",post op seizure free and sEEG,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,2005,#F27420,SF and sEEG,Epilepsy Topology (ET),Unlabelled Age,0.0,Tonic
286,y,,y,"Beauvais K, Biraben A, Seigneuret E, Saikali S, Scarabin JM. Subjective signs in premotor epilepsy: confirmation by stereo-electroencephalography. Epileptic Disord 2005; 7(4): 347-54.",,,Agitation (observed),Complex Behaviour,post op seizure free and sEEG,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,2005,#F27420,SF and sEEG,Epilepsy Topology (ET),Unlabelled Age,0.0,Complex Behavioural
287,y,,y,"Beauvais K, Biraben A, Seigneuret E, Saikali S, Scarabin JM. Subjective signs in premotor epilepsy: confirmation by stereo-electroencephalography. Epileptic Disord 2005; 7(4): 347-54.",,,Vocalisation,Vocalisation,post op seizure free and sEEG,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,2005,#F27420,SF and sEEG,Epilepsy Topology (ET),Unlabelled Age,0.0,Vocalisation
288,y,,y,"Beauvais K, Biraben A, Seigneuret E, Saikali S, Scarabin JM. Subjective signs in premotor epilepsy: confirmation by stereo-electroencephalography. Epileptic Disord 2005; 7(4): 347-54.",,,gestural auromatisms,Automatisms (UL),post op seizure free and sEEG,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,2005,#F27420,SF and sEEG,Epilepsy Topology (ET),Unlabelled Age,0.0,Automatism - Automotor Manual
289,y,,,"Benbadis SR, Kotagal P, Klem GH. Unilateral blinking: a lateralizing sign in partial seizures. Neurology 1996; 46(1): 45-8.",14,4.0,unilateral blinking,Blink,post operative seizure freedom,4.0,1.0,3.0,,,,4.0,,3.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,10,4,,y,,,1954-2000,#F27420,Seizure-Freedom Only,Spontaneous Semiology (SS),Unlabelled Age,0.0,Blink
290,y,,,"Benbadis SR, Kotagal P, Klem GH. Unilateral blinking: a lateralizing sign in partial seizures. Neurology 1996; 46(1): 45-8.",,,head turn,Head Turn,post operative seizure freedom,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,1954-2000,#F27420,Seizure-Freedom Only,Spontaneous Semiology (SS),Unlabelled Age,0.0,Head or Body Turn
291,y,,,"Benbadis SR, Kotagal P, Klem GH. Unilateral blinking: a lateralizing sign in partial seizures. Neurology 1996; 46(1): 45-8.",,,head version,Version,post operative seizure freedom,2.0,2.0,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,1954-2000,#F27420,Seizure-Freedom Only,Spontaneous Semiology (SS),Unlabelled Age,0.0,Head Version
292,y,,,"Benbadis SR, Kotagal P, Klem GH. Unilateral blinking: a lateralizing sign in partial seizures. Neurology 1996; 46(1): 45-8.",,,upper extremity dystonic,Dystonic (UL),post operative seizure freedom,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,1954-2000,#F27420,Seizure-Freedom Only,Spontaneous Semiology (SS),Unlabelled Age,0.0,Dystonic
295,y,,,"Benitez V, Manley PE, Goumnerova LC, Harini C, Ullrich NJ. Brain tumors and epileptic spasms: Natural history and outcomes. Epilepsy Behav 2017; 75: 25-8.",11,3.0,Epileptic Spasms (ES),Infantile Spasms,Post-operative seizure freedom,,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,8,3,,y,,,2017,#F27420,Seizure-Freedom Only,Spontaneous Semiology (SS),Unlabelled Age,0.0,Spasms - epileptic/infantile
296,y,,,"Benitez V, Manley PE, Goumnerova LC, Harini C, Ullrich NJ. Brain tumors and epileptic spasms: Natural history and outcomes. Epilepsy Behav 2017; 75: 25-8.",,,"right head deviation, right eye deviation",Head Turn,Post-operative seizure freedom,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,2017,#F27420,Seizure-Freedom Only,Spontaneous Semiology (SS),Unlabelled Age,0.0,Head or Body Turn
297,y,,,"Benitez V, Manley PE, Goumnerova LC, Harini C, Ullrich NJ. Brain tumors and epileptic spasms: Natural history and outcomes. Epilepsy Behav 2017; 75: 25-8.",,,right arm +/- leg jerk,Myoclonic,Post-operative seizure freedom,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,2017,#F27420,Seizure-Freedom Only,Spontaneous Semiology (SS),Unlabelled Age,0.0,Myoclonic
298,,,y,"Biraben A, Taussig D, Thomas P, Even C, Vignal JP, Scarabin JM, et al. Fear as the main feature of epileptic seizures. J Neurol Neurosurg Psychiatry 2001; 70(2): 186-91.",8,4.0,Epigatric Aura,Aura (Epigastric),sEEG (all seizure free but follow up >12months in 4 of 6),,,,,,,1.0,,1.0,1.0,,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,4,6,,y,,,2001,#F27420,sEEG Only,Spontaneous Semiology (SS),Unlabelled Age,0.0,Epigastric
299,,,y,"Biraben A, Taussig D, Thomas P, Even C, Vignal JP, Scarabin JM, et al. Fear as the main feature of epileptic seizures. J Neurol Neurosurg Psychiatry 2001; 70(2): 186-91.",,,Fear,Fear,sEEG (all seizure free but follow up >12months in 4 of 6),,,,,,,4.0,,2.0,1.0,,,,,,,,3.0,,,,,3.0,,2.0,,,,0.6666666666666666,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3333333333333333,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,2001,#F27420,sEEG Only,Spontaneous Semiology (SS),Unlabelled Age,0.0,Fear-Anxiety
300,,,y,"Biraben A, Taussig D, Thomas P, Even C, Vignal JP, Scarabin JM, et al. Fear as the main feature of epileptic seizures. J Neurol Neurosurg Psychiatry 2001; 70(2): 186-91.",,,Strange Feeling,Psychic,sEEG (all seizure free but follow up >12months in 4 of 6),,,,,,,2.0,,1.0,,,,,,,,,2.0,,,,,2.0,,1.0,,,,0.5,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,2001,#F27420,sEEG Only,Spontaneous Semiology (SS),Unlabelled Age,0.0,Psychic
